SW MISS | addr=0x00000100 set=0 way=0 tag=0x2 woff=0 val=0x00000001
SW HIT  | addr=0x00000104 set=0 way=0 tag=0x2 woff=1 val=0x00000005
SW HIT  | addr=0x00000108 set=0 way=0 tag=0x2 woff=2 val=0x00000009
SW HIT  | addr=0x0000010C set=0 way=0 tag=0x2 woff=3 val=0x0000000D
SW MISS | addr=0x00000110 set=1 way=0 tag=0x2 woff=0 val=0x00000011
SW HIT  | addr=0x00000114 set=1 way=0 tag=0x2 woff=1 val=0x00000015
SW HIT  | addr=0x00000118 set=1 way=0 tag=0x2 woff=2 val=0x00000019
SW HIT  | addr=0x0000011C set=1 way=0 tag=0x2 woff=3 val=0x0000001D
SW MISS | addr=0x00000200 set=0 way=1 tag=0x4 woff=0 val=0x0000000A
SW HIT  | addr=0x00000204 set=0 way=1 tag=0x4 woff=1 val=0x0000000E
SW HIT  | addr=0x00000208 set=0 way=1 tag=0x4 woff=2 val=0x00000012
SW HIT  | addr=0x0000020C set=0 way=1 tag=0x4 woff=3 val=0x00000016
SW MISS | addr=0x00000210 set=1 way=1 tag=0x4 woff=0 val=0x0000001A
SW HIT  | addr=0x00000214 set=1 way=1 tag=0x4 woff=1 val=0x0000001E
SW HIT  | addr=0x00000218 set=1 way=1 tag=0x4 woff=2 val=0x00000022
SW HIT  | addr=0x0000021C set=1 way=1 tag=0x4 woff=3 val=0x00000026
EVICT   | set=0 way=0 tag=0x2 dirty=1
WB      | set=0 way=0 tag=0x2 base=0x00000100
SW MISS | addr=0x00000300 set=0 way=0 tag=0x6 woff=0 val=0x00000014
SW HIT  | addr=0x00000304 set=0 way=0 tag=0x6 woff=1 val=0x00000018
SW HIT  | addr=0x00000308 set=0 way=0 tag=0x6 woff=2 val=0x0000001C
SW HIT  | addr=0x0000030C set=0 way=0 tag=0x6 woff=3 val=0x00000020
EVICT   | set=1 way=0 tag=0x2 dirty=1
WB      | set=1 way=0 tag=0x2 base=0x00000110
SW MISS | addr=0x00000310 set=1 way=0 tag=0x6 woff=0 val=0x00000024
